admission,入場許可
banquet,宴会
headquarters,本社
destination,目的地
procedure,手順
accounting,会計学
architect,建築士
deposit,預金
resume,履歴書、要約
retail,小売り
revenue,総利益、歳入
accomodation,宿泊設備
executive,重役
exhibit,展示品
inquiry,問い合わせ
prescription,処方箋
replacement,後任者、取り替え
certificate,証明書
registration,登録
spectator,観客
extension,内戦、証明
transaction,取引
accountant,会計士
grocery,食料雑貨類
personnel,人事部
refreshment,軽食、新たにする
compromise,妥協
routine,決まりきった仕事
workshop,研修会
consent,同意
obligation,義務
precaution,予防策
reputation,評判
neighborhood,地域、近所、近所の人
assigment,任務
premotion,昇進
dispute,論争
excursion,遠足
storge,保管、保管庫
implement,道具、手段
negotiate,取り決める
coordinate,同等の
address,挨拶の言葉、話しかける
diligently,従順な
sequel,続編
cardidate,候補者
confident,自身のある
climatic,気候の
numerous,非常に数の多い
indicate,指し示す
discipline,訓練
ensure,保証する
flock,群れ、多数
alter,変える
speculate,思索する
burst,破裂する
tackle,取り組む、掴む
detect,見つける
notorious,悪名高い
vocational,職業上の
contraction,短縮すること
campus,キャンパス
submission,提出、服従
livestock,家畜
circulation,循環、発行部数
appliance,器具
outsider,部外者
sector,部門
conversion,転換
sewage,下水
congestion,混雑、密集
dependency,依存
treatypresonnel,条約
triumph,勝利
in the sence of,〜という意味の
in the sence that,〜という意味では
nurture,はぐくむ
hung up,引き止められ
debatable,議論の余地がある、疑わしい
pod,まゆ、小群
hold true,事実である
squeak,キーキー終え
be confined to,限る、止まる
whistle,増えを吹く
dominance,支配、優性
solicitor,懇願者
preceive,〜に気づく、〜を見抜く
verify,検証する
bureau,事務局、案内所
obedient,従順な
renown,有名、名声
courteous,礼儀正しい
uncertain,不確かな、不明確な
trival,ささいな、普通の
subsequently,その後
incorporate,〜を取り入れる
compatibly,適合して
monopolize,独占する
All in all,全部で、毛局
insability,不安定性
normalizes,〜を正常にする
down turn,下降
preserve,保存する
retain,保つ、忘れないでいる
jump at,飛びつく
compensation,償い
short coming,短所
diligent,勤勉な、熱心な
sympathetic,同情する、賛同する
masculinity,男らしさ、勇敢さ
trip up,〜の足をすくう
hop in,飛び乗る
walk off,〜を放棄する
stand aside,脇による、防寒する
employ,雇う、(手段を)採用する
fore sight,先見の明、予感
make for,〜へ突進する
cover for,の代わりを務める
luxary,ぜいたく品
confederation,連合、同盟
theft,盗み、窃盗
orphaned,孤児となって
upbringing,養育
nourished,育てられて
ransomed,身請けされて
feel obliged to do,しなければならないと思う
obliriausly,気づかずに
bill,広告する、記入する、請求書
renter,貸す人
intake,取り入れギチ
compensation,保証金
disconfort,不快、不愉快
numerous,多数の
obstacle,障害物
emerge,出てくる、現れる
discord,不一致、不和
rulnerable,攻撃されやすい、弱い
work place,職場
herd,群れ
ebri,破片、がれき
eruption,発生、爆発
makeup,化粧品、構成
dialogue,対話
instruction,指示
affair,事柄
seize,〜を掴む
range,及んでいる
surrender,引き渡し、降参
decay,腐る
bare,裸の
exclaim,叫ぶ
vain,無駄な
spill,こぼす
adequate,適した
postpone,〜を延期する
distinct,異なった
sew,〜を縫う
accustomed,なれた
sufficient,十分な
exact,正確な
stare,じっと見つめる
stuff,物
rent,〜を賃借りする
spare,予備の
funeral,葬式
access,接近方法
divorce,離婚
quite a few,かなり多くの
be strict with,〜に厳しい
behave oneself,行儀よくする
appeal to,〜に訴える
grow up to,成長して〜になる
be forced to,せざるを得ない
take aback,〜をびっくりさせる
be fond of,〜をお飲む
prefer A to B,BよりAを好む
at any time,どんなときでも
at them mercy of,〜のナスがママに
orginate in ,〜に始まる
come across,
out of fear,恐怖心から
lay aside,〜を横に置く
On ...ing,するとすぐに
set out to do,〜し始める
be nominated for,〜に指名される
somply with,(要求に)応じる、従う
be rulnersable to,〜に弱い
go astray,行方不明になる、道に迷う
subsidy,補助金、助成金
propety,不動産、財産
resent,〜に憤慨する
induce,〜を誘発する
conferm,〜を適合させる
restore,〜を修復する
charge,告発、避難
denial,否定、拒絶
assemblies,集会
conards,臆病者
dictators,独裁者
casuaties,犠牲者
ensuing,続いて起こっている
deploying,配置している
sprouting,発芽している
abstaining,控えている
dispose of,〜を処理する
be diagnosed as,〜だと診断される
in tract with,交流する
measure up to,〜に見合う、〜を満たす
be obsessed with,〜に取り憑かれる
consensus,総意
governor,知事
land load,大家
formulas,公式
case,訴訟
eyewitness,目撃者
testify,証言する
dignify,〜に威厳をつける
amplify,(音声を)増幅する
elevation,標高
correction,訂正
publicity,評判
acceptance,受諾
ceaseless,絶え間ない
flowed,欠点のある
chronological,年代順の
accorded,認められた、一致した
compile,まとめる
urge,強く進める
bargain,(値段を)交渉する
stimulate,〜を刺激する
concession,譲歩
demand,要求
mutual,相互の
compulsory,強制的な、火数の
intact,無傷の
acute,鋭い
